it, ret_suc, ret_cum_suc, exp_suc, opt_len, dist_from_opt, len_mean, frames, rew_mean, score, ep, cells, arch_suc, policy_loss, value_loss, l2_loss, policy_entropy, approxkl, clipfrac, sil_pg_loss, sil_vf_loss, sil_loss, sil_entropy, sil_valid_min, sil_valid_max, sil_valid_mean, neglop_sil_min, neglop_sil_max, neglop_sil_mean, mean_val_pred, mean_sil_r, sil_frames, no_score_cells, cells_found_ret, cells_found_rand, cells_found_policy
1, -1, 0, -1, -1, -1, nan, 3072, nan, 0.0, 0, 19, 0.0, 0.0, 0.0, 1759.9955, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7051802, 2.7070696, 2.705424, -0.0017945025, 0.0, 3072, 19, 0, 0, 18
2, -1, 0, -1, -1, -1, nan, 5120, nan, 0.0, 0, 22, 0.0, 0.0, 0.0, 1759.9738, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7052433, 2.7072513, 2.7058296, -0.001750187, 0.0, 3328, 22, 0, 0, 21
3, -1, 0, -1, -1, -1, nan, 7168, nan, 0.0, 0, 28, 0.0, 0.0, 0.0, 1759.9425, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7054713, 2.707746, 2.7070286, -0.0017599422, 0.0, 3584, 28, 0, 0, 27
4, 1.0, 1.0, 0.0, -1, -1, 500.0, 8684, 0.0, 0.0, 16, 28, 0.03571428571428571, 0.03535501, 0.030264646, 1759.9061, 1.0692669, 0.006615336, 0.42763156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.58756, 2.7004867, 2.6504838, -0.0025512914, 0.0, 3456, 28, 0, 0, 27
5, 1.0, 1.0, 0.0, -1, -1, 500.0, 9836, 0.0, 0.0, 16, 28, 0.03571428571428571, 0.4106941, 0.020835899, 1759.8859, 1.7994304, 0.0024387864, 0.13964844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5198786, 2.656266, 2.5693812, 0.17073904, 0.0, 792, 28, 0, 0, 27
6, 1.0, 1.0, 0.0, -1, -1, 500.0, 10988, 0.0, 0.0, 16, 28, 0.03571428571428571, 0.24124385, 0.035530075, 1759.908, 1.7982081, 0.001553443, 0.0703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5300064, 2.681413, 2.616676, 0.50620866, 0.0, 1048, 28, 0, 0, 27
7, 1.0, 1.0, 0.0, -1, -1, 500.0, 12140, 0.0, 0.0, 16, 28, 0.03571428571428571, 0.08753843, 0.1894068, 1759.9126, 1.7951895, 0.0013482072, 0.0859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6949296, 2.762782, 2.7288218, 0.7332489, 0.0, 1304, 28, 0, 0, 27
8, 0.68, 1.3333333333333333, 0.0, -1, -1, 500.0, 13292, 0.0, 0.0, 25, 28, 0.03571428571428571, 0.23828024, 0.15262699, 1759.8762, 1.7881907, 0.0020724125, 0.16015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7315807, 2.8984017, 2.8358266, 0.98511976, 0.0, 1560, 28, 0, 0, 27
9, 0.68, 1.3333333333333333, 0.0, -1, -1, 500.0, 14444, 0.0, 0.0, 25, 28, 0.03571428571428571, -0.073259614, 0.44298053, 1759.8455, 1.7920798, 0.0029694412, 0.17578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6271758, 2.6874652, 2.6466212, 1.1597849, 0.0, 816, 28, 0, 0, 27
10, 0.68, 1.3333333333333333, 0.0, -1, -1, 500.0, 15596, 0.0, 0.0, 25, 28, 0.03571428571428571, 0.20601384, 0.14989483, 1759.9009, 1.7883177, 0.0019133964, 0.10839844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.604611, 2.685993, 2.6336336, 1.3489803, 0.0, 1072, 28, 0, 0, 27
