it, ret_suc, ret_cum_suc, exp_suc, opt_len, dist_from_opt, len_mean, frames, rew_mean, score, ep, cells, arch_suc, policy_loss, value_loss, l2_loss, policy_entropy, approxkl, clipfrac, sil_pg_loss, sil_vf_loss, sil_loss, sil_entropy, sil_valid_min, sil_valid_max, sil_valid_mean, neglop_sil_min, neglop_sil_max, neglop_sil_mean, mean_val_pred, mean_sil_r, sil_frames, no_score_cells, cells_found_ret, cells_found_rand, cells_found_policy
1, -1, 0, -1, -1, -1, nan, 3072, nan, 0.0, 0, 11, 0.0, 0.0, 0.0, 1759.9955, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.711482, 2.7153206, 2.7148247, 0.00045276774, 0.0, 3072, 11, 0, 0, 10
2, -1, 0, -1, -1, -1, nan, 5120, nan, 0.0, 0, 14, 0.0, 0.0, 0.0, 1759.9738, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7098687, 2.7153382, 2.713404, 0.0004798032, 0.0, 3328, 14, 0, 0, 13
3, -1, 0, -1, -1, -1, nan, 7168, nan, 0.0, 0, 21, 0.0, 0.0, 0.0, 1759.9426, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7087731, 2.7148724, 2.7105608, 0.00049951044, 0.0, 3584, 21, 0, 0, 20
4, 1.0, 1.0, 0.0, -1, -1, 500.0, 8684, 0.0, 0.0, 16, 21, 0.047619047619047616, -0.81291234, 0.7904027, 1759.9126, 1.0689774, 0.0077314833, 0.4375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7107203, 2.7738101, 2.7380192, 0.00036562412, 0.0, 3456, 21, 0, 0, 20
5, 1.0, 1.0, 0.0, -1, -1, 500.0, 9836, 0.0, 0.0, 16, 21, 0.047619047619047616, 0.32981396, 0.012825164, 1759.8846, 1.7979023, 0.0030352953, 0.20507812, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5919497, 2.6684606, 2.6186733, 0.21484216, 0.0, 792, 21, 0, 0, 20
6, 1.0, 1.0, 0.0, -1, -1, 500.0, 10988, 0.0, 0.0, 16, 21, 0.047619047619047616, -0.59333414, 0.48025203, 1759.8264, 1.5229385, 0.0013569242, 0.09174312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5430212, 2.6676776, 2.601083, 0.46543884, 0.0, 1048, 21, 0, 0, 20
7, 1.0, 1.0, 0.0, -1, -1, 500.0, 12140, 0.0, 0.0, 16, 27, 0.037037037037037035, -0.17314444, 0.14147009, 1759.7659, 0.89175296, 0.0017388441, 0.1015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3717864, 2.5226688, 2.3942797, 0.7050562, 0.0, 1112, 27, 4, 0, 22
8, 0.84, 3.6666666666666665, 0.0, -1, -1, 500.0, 13292, 0.0, 0.0, 25, 27, 0.07407407407407407, -0.23944625, 0.6522483, 1759.7263, 1.5058006, 0.0028406843, 0.17592593, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3063416, 2.5939806, 2.367638, 0.7857819, 0.0, 1368, 27, 4, 0, 22
9, 0.84, 3.6666666666666665, 0.0, -1, -1, 500.0, 14444, 0.0, 0.0, 25, 27, 0.07407407407407407, -0.121445015, 0.42634797, 1759.724, 1.7788398, 0.0022921443, 0.13085938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.397472, 2.5737214, 2.4538085, 1.0043527, 0.0, 932, 27, 4, 0, 22
10, 0.84, 3.6666666666666665, 0.0, -1, -1, 500.0, 15596, 0.0, 0.0, 25, 27, 0.07407407407407407, 0.3101696, 0.0069669476, 1759.6632, 1.7952288, 0.00052287965, 0.0107421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5986452, 2.6820583, 2.6327152, 1.2412211, 0.0, 1188, 27, 4, 0, 22
11, 0.84, 3.6666666666666665, 0.0, -1, -1, 500.0, 16748, 0.0, 0.0, 25, 27, 0.07407407407407407, 0.30618235, 0.014534049, 1759.6028, 1.8046457, 3.3356868e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6939816, 2.7066946, 2.7007053, 1.2097672, 0.0, 944, 27, 4, 0, 22
12, 0.6764705882352942, 4.916666666666666, 0.0, -1, -1, 500.0, 17900, 0.0, 0.0, 34, 27, 0.07407407407407407, -0.23403253, 0.75113064, 1759.5879, 1.7910445, 0.0029828004, 0.20410155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6182544, 2.7216074, 2.6863494, 1.2459507, 0.0, 1672, 27, 4, 0, 22
13, 0.6764705882352942, 4.916666666666666, 0.0, -1, -1, 500.0, 19052, 0.0, 0.0, 34, 27, 0.07407407407407407, -0.020631239, 0.3609148, 1759.5686, 1.0750859, 0.0016736931, 0.13636364, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5500169, 2.639999, 2.5815432, 1.3667003, 0.0, 1428, 27, 4, 0, 22
14, 0.6764705882352942, 4.916666666666666, 0.0, -1, -1, 500.0, 20204, 0.0, 0.0, 34, 27, 0.07407407407407407, 0.09327787, 0.013684076, 1759.5645, 0.8916477, 0.0010707338, 0.062499996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.469946, 2.6479666, 2.5463495, 1.5895654, 0.0, 1684, 27, 4, 0, 22
15, 0.6764705882352942, 4.916666666666666, 0.0, -1, -1, 500.0, 21356, 0.0, 0.0, 34, 27, 0.07407407407407407, 0.19336604, 0.0068089156, 1759.4974, 0.90101004, 0.0002010274, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5356712, 2.692451, 2.6511638, 1.6930103, 0.0, 1940, 27, 4, 0, 22
16, 0.6046511627906976, 7.75, 0.0, -1, -1, 500.0, 22508, 0.0, 0.0, 43, 27, 0.1111111111111111, -0.052008558, 0.278046, 1759.4751, 1.2615285, 0.0027781106, 0.17445055, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5142188, 2.6937857, 2.596859, 1.6445013, 0.0, 1808, 27, 4, 0, 22
17, 0.6046511627906976, 7.75, 0.0, -1, -1, 500.0, 23660, 0.0, 0.0, 43, 27, 0.1111111111111111, 0.10726453, 0.0125163095, 1759.5079, 0.8744054, 0.0028360332, 0.19726562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5154057, 2.64767, 2.584219, 1.6483666, 0.0, 1564, 27, 4, 0, 22
18, 0.6046511627906976, 7.75, 0.0, -1, -1, 500.0, 24812, 0.0, 0.0, 43, 27, 0.1111111111111111, 0.1811484, 0.009119671, 1759.4941, 0.8823956, 0.00094772596, 0.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4473534, 2.6696906, 2.5639963, 1.737616, 0.0, 1820, 27, 4, 0, 22
