it, ret_suc, exp_suc, opt_len, dist_from_opt, len_mean, frames, rew_mean, score, ep, cells, arch_suc, cum_suc, policy_loss, value_loss, l2_loss, policy_entropy, approxkl, clipfrac, sil_pg_loss, sil_vf_loss, sil_loss, sil_entropy, sil_valid_min, sil_valid_max, sil_valid_mean, neglop_sil_min, neglop_sil_max, neglop_sil_mean, mean_val_pred, mean_sil_r, sil_frames, no_score_cells, cells_found_ret, cells_found_rand, cells_found_policy
1, -1, -1, -1, -1, nan, 3072, nan, 0.0, 0, 13, 0.0, 0, 0.0, 0.0, 1759.9956, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7095556, 2.711467, 2.710416, -0.008682991, 0.0, 3072, 13, 0, 0, 12
2, -1, -1, -1, -1, nan, 5120, nan, 0.0, 0, 14, 0.0, 0, 0.0, 0.0, 1759.9738, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7090294, 2.7106311, 2.7101538, -0.008701726, 0.0, 3328, 14, 0, 0, 13
3, -1, -1, -1, -1, nan, 7168, nan, 0.0, 0, 22, 0.0, 0, 0.0, 0.0, 1759.9425, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7083795, 2.7104163, 2.7090652, -0.0086978935, 0.0, 3584, 22, 0, 2, 19
4, -1, -1, -1, -1, nan, 9216, nan, 0.0, 0, 28, 0.0, 0, 0.0, 0.0, 1759.9043, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7082133, 2.7088146, 2.7083943, -0.008720989, 0.0, 3840, 28, 0, 2, 25
5, -1, -1, -1, -1, nan, 11264, nan, 0.0, 0, 28, 0.0, 0, 0.0, 0.0, 1759.8599, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7081423, 2.708334, 2.708209, -0.008686102, 0.0, 4096, 28, 0, 2, 25
6, -1, -1, -1, -1, nan, 13312, nan, 0.0, 0, 32, 0.0, 0, 0.0, 0.0, 1759.8105, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7081099, 2.7081907, 2.7081413, -0.008693174, 0.0, 4352, 32, 0, 2, 29
7, 1.0, 0.1111111111111111, 23, 825, 848.0, 15360, 10.0, 10.0, 1, 36, 0.0, 0, 0.0, 0.0, 1759.7568, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7089083, 2.70976, 2.7092545, -0.008694004, 0.0, 4608, 36, 0, 2, 33
8, 1.0, 0.014388489208633094, 23, 825, 990.3125, 16789, 1.25, 10.0, 16, 37, 0.02702702702702703, 1.0, -0.054506745, 0.19174114, 1759.6991, 1.2325685, 0.0038292147, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7092023, 2.8383098, 2.7638912, -0.013970251, 0.0, 4288, 37, 0, 2, 34
9, 1.0, 0.014388489208633094, 23, 825, 990.3125, 17941, 1.25, 10.0, 16, 37, 0.02702702702702703, 1.0, -0.21074146, 0.3980912, 1759.6573, 1.7903141, 0.0050702873, 0.33984372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8194394, 2.8862686, 2.864775, 0.21609102, 0.0, 1200, 37, 0, 2, 34
10, 1.0, 0.014388489208633094, 23, 825, 990.3125, 19093, 1.25, 10.0, 16, 37, 0.02702702702702703, 1.0, 0.19177945, 0.013585085, 1759.59, 1.7976774, 0.0015105756, 0.09375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7413447, 2.9167643, 2.8421957, 0.5120874, 0.0, 1456, 37, 0, 2, 34
11, 1.0, 0.014388489208633094, 23, 825, 990.3125, 20245, 1.25, 10.0, 16, 37, 0.02702702702702703, 1.0, 0.2527655, 0.030193292, 1759.5298, 1.7995118, 0.0012578755, 0.068359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.747395, 3.1075053, 2.9017956, 0.6703975, 0.0, 1520, 37, 0, 2, 34
12, 1.0, 0.014388489208633094, 23, 825, 990.3125, 21397, 1.25, 10.0, 16, 37, 0.02702702702702703, 1.0, 0.29810226, 0.009991464, 1759.4718, 1.8017635, 0.0010267464, 0.07324218, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.734431, 2.9074764, 2.8075554, 0.71392965, 0.0, 1584, 37, 0, 2, 34
13, 1.0, 0.014388489208633094, 23, 825, 990.3125, 22549, 1.25, 10.0, 16, 37, 0.02702702702702703, 1.0, 0.2949156, 0.0017973889, 1759.436, 1.8049073, 0.00016375033, 0.0009765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.713799, 2.7604027, 2.7228892, 0.6914623, 0.0, 1840, 37, 0, 2, 34
14, 0.9411764705882353, 0.02027027027027027, 23, 825, 990.8823529411765, 23701, 1.1764705882352942, 10.0, 17, 37, 0.02702702702702703, 1.0, 0.2650582, 0.0015916446, 1759.411, 1.8052744, 2.7643202e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7122684, 2.7226682, 2.7159352, 0.6570055, 0.0, 2096, 37, 0, 2, 34
15, 0.9411764705882353, 0.02027027027027027, 23, 825, 990.8823529411765, 24853, 1.1764705882352942, 10.0, 17, 37, 0.02702702702702703, 1.0, 0.30503744, 0.0018598877, 1759.4105, 1.8053428, 6.1280534e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7080543, 2.712465, 2.7101038, 0.55255103, 0.0, 2352, 37, 0, 2, 34
16, 0.68, 0.013513513513513514, 23, 825, 993.8, 26005, 0.8, 10.0, 25, 37, 0.02702702702702703, 1.0, 0.1296053, 0.10936835, 1759.3969, 1.7985969, 0.0032158769, 0.24316406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6998634, 2.777384, 2.738205, 0.4808832, 0.0, 2608, 37, 0, 2, 34
17, 0.68, 0.013513513513513514, 23, 825, 993.8, 27157, 0.8, 10.0, 25, 37, 0.02702702702702703, 1.0, -0.1038445, 0.1752275, 1759.3398, 1.7962582, 0.0019696793, 0.107421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7132802, 2.737277, 2.7299707, 0.5244148, 0.0, 864, 37, 0, 2, 34
18, 0.68, 0.013513513513513514, 23, 825, 993.8, 28309, 0.8, 10.0, 25, 37, 0.02702702702702703, 1.0, 0.017012978, 0.10717467, 1759.3105, 1.7810109, 0.0019254492, 0.11425781, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8412588, 2.9075212, 2.8918033, 0.6426461, 0.0, 1120, 37, 0, 2, 34
19, 0.68, 0.013513513513513514, 23, 825, 993.8, 29461, 0.8, 10.0, 25, 37, 0.02702702702702703, 1.0, -0.21095927, 0.44981968, 1759.2399, 1.7916355, 0.0019646175, 0.13964844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7406998, 2.8266597, 2.8024335, 0.7591968, 0.0, 1376, 37, 0, 2, 34
