it, ret_suc, exp_suc, opt_len, dist_from_opt, len_mean, frames, rew_mean, score, ep, cells, arch_suc, cum_suc, policy_loss, value_loss, l2_loss, policy_entropy, approxkl, clipfrac, sil_pg_loss, sil_vf_loss, sil_loss, sil_entropy, sil_valid_min, sil_valid_max, sil_valid_mean, neglop_sil_min, neglop_sil_max, neglop_sil_mean, mean_val_pred, mean_sil_r, sil_frames, no_score_cells, cells_found_ret, cells_found_rand, cells_found_policy
1, -1, -1, -1, -1, nan, 3072, nan, 0.0, 0, 20, 0.0, 0, 0.0, 0.0, 1759.9956, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7111242, 2.7156165, 2.7147667, 0.008140533, 0.0, 3072, 20, 0, 9, 10
2, 1.0, 0.3333333333333333, 23, 247, 270.0, 5070, 10.0, 10.0, 1, 34, 0.0, 0, 0.0, 0.0, 1759.9746, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6180036, 2.6844506, 2.642286, 0.008172266, 0.0, 3328, 34, 0, 9, 24
3, 1.0, 0.3333333333333333, 23, 247, 270.0, 6990, 10.0, 10.0, 1, 34, 0.0, 0, 0.0, 0.0, 1759.9509, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.490687, 2.679162, 2.616325, 0.22360905, 0.0, 3584, 34, 0, 9, 24
4, 1.0, 0.3333333333333333, 23, 247, 270.0, 8910, 10.0, 10.0, 1, 34, 0.0, 0, 0.0, 0.0, 1759.9172, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6778543, 2.706388, 2.696135, 0.643773, 0.0, 3840, 34, 0, 9, 24
5, 1.0, 0.3333333333333333, 23, 247, 270.0, 10830, 10.0, 10.0, 1, 36, 0.0, 0, 0.0, 0.0, 1759.8762, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7170312, 2.7411518, 2.7249858, 1.043395, 0.0, 4096, 36, 0, 9, 26
6, 1.0, 0.3333333333333333, 23, 247, 270.0, 12750, 10.0, 10.0, 1, 36, 0.0, 0, 0.0, 0.0, 1759.8467, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7202845, 2.7427893, 2.7280364, 1.2750331, 0.0, 4352, 36, 0, 9, 26
7, 1.0, 0.3333333333333333, 23, 247, 270.0, 14670, 10.0, 10.0, 1, 36, 0.0, 0, 0.0, 0.0, 1759.8071, 0.0, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7182832, 2.7330866, 2.7233388, 1.4125843, 0.0, 4608, 36, 0, 9, 26
8, 1.0, 0.008849557522123894, 23, 247, 954.375, 16062, 0.625, 10.0, 16, 36, 0.027777777777777776, 1.0, -0.3635983, 0.25609985, 1759.756, 1.2118727, 0.0058759544, 0.3181818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7142649, 3.2489667, 2.9433334, 1.5124159, 0.0, 4096, 36, 0, 9, 26
9, 1.0, 0.008849557522123894, 23, 247, 954.375, 17214, 0.625, 10.0, 16, 36, 0.027777777777777776, 1.0, 0.013058933, 0.22113688, 1759.6858, 1.7824935, 0.0035317596, 0.21386719, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.783693, 2.9344034, 2.8669882, 1.7239379, 0.0, 816, 36, 0, 9, 26
10, 1.0, 0.008849557522123894, 23, 247, 954.375, 18366, 0.625, 10.0, 16, 36, 0.027777777777777776, 1.0, 0.44839534, 0.017193193, 1759.6357, 1.7969695, 0.0011645306, 0.06347656, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7316692, 2.9246712, 2.8185678, 1.8896184, 0.0, 880, 36, 0, 9, 26
