it, frame, exp_strat, exp_new_cells, ret_new_cells, score, total_actions, id
3, 0, 1, 340, 0, 210.0, 423, 4611686018427387904
4, 0, 2, 417, 0, 100.0, 468, 4611686018427387903
5, 9308, 2, 528, 0, 110.0, 580, 1
6, 10444, 1, 670, 0, 510.0, 736, 0
9, 0, 0, 0, 694, 180.0, 749, 4611686018427387905
9, 13904, 0, 0, 547, 150.0, 605, 2
15, 0, 0, 0, 659, 160.0, 713, 4611686018427387915
17, 21856, 0, 0, 907, 230.0, 964, 7
20, 0, 0, 0, 603, 130.0, 657, 4611686018427387918
23, 28244, 0, 0, 776, 140.0, 829, 11
25, 0, 0, 0, 603, 180.0, 661, 4611686018427387922
28, 33136, 0, 0, 536, 120.0, 583, 16
33, 0, 0, 0, 940, 280.0, 993, 4611686018427387925
34, 39260, 0, 0, 706, 210.0, 763, 19
37, 0, 0, 0, 485, 210.0, 541, 4611686018427387928
38, 43468, 0, 0, 490, 150.0, 540, 22
42, 0, 0, 0, 601, 180.0, 652, 4611686018427387930
43, 48404, 0, 0, 536, 220.0, 594, 25
47, 0, 0, 0, 502, 300.0, 564, 4611686018427387933
47, 52684, 0, 0, 506, 150.0, 558, 29
52, 0, 0, 0, 678, 170.0, 729, 4611686018427387935
54, 59888, 0, 0, 853, 250.0, 905, 33
57, 0, 0, 0, 626, 130.0, 677, 4611686018427387938
58, 63964, 0, 0, 454, 210.0, 507, 36
62, 0, 0, 0, 492, 130.0, 545, 4611686018427387943
64, 70124, 0, 0, 715, 190.0, 772, 38
66, 0, 0, 0, 533, 110.0, 586, 4611686018427387950
70, 76016, 0, 0, 647, 240.0, 705, 44
71, 0, 0, 0, 552, 220.0, 611, 4611686018427387952
74, 80336, 0, 0, 513, 150.0, 568, 46
75, 0, 0, 0, 410, 80.0, 462, 4611686018427387954
79, 0, 0, 0, 537, 200.0, 595, 4611686018427387958
80, 86444, 0, 0, 698, 250.0, 759, 57
85, 0, 0, 0, 691, 160.0, 744, 4611686018427387960
88, 94564, 0, 0, 951, 250.0, 1006, 60
91, 0, 0, 0, 746, 230.0, 809, 4611686018427387963
95, 101796, 0, 0, 860, 170.0, 912, 63
96, 0, 0, 0, 479, 190.0, 545, 4611686018427387969
99, 106028, 0, 0, 491, 80.0, 546, 66
101, 0, 0, 0, 554, 140.0, 619, 4611686018427387972
105, 112132, 0, 0, 704, 250.0, 758, 68
108, 0, 0, 0, 882, 230.0, 945, 4611686018427387974
109, 116140, 0, 0, 430, 180.0, 490, 70
113, 120284, 0, 0, 463, 190.0, 524, 72
115, 0, 0, 0, 796, 350.0, 853, 4611686018427387983
118, 125612, 0, 0, 635, 230.0, 692, 76
120, 0, 0, 0, 691, 170.0, 745, 4611686018427387988
124, 131780, 0, 0, 724, 240.0, 774, 81
125, 0, 0, 0, 538, 100.0, 595, 4611686018427387992
131, 0, 0, 0, 731, 850.0, 800, 4611686018427387994
131, 138888, 0, 0, 823, 240.0, 881, 87
136, 0, 0, 0, 550, 160.0, 608, 4611686018427387997
137, 144632, 0, 0, 604, 140.0, 668, 90
142, 0, 0, 0, 664, 220.0, 720, 4611686018427388001
142, 149916, 0, 0, 616, 140.0, 681, 93
146, 154288, 0, 0, 517, 190.0, 581, 99
147, 0, 0, 0, 580, 110.0, 639, 4611686018427388003
152, 159984, 0, 0, 599, 160.0, 656, 101
153, 0, 0, 0, 709, 250.0, 772, 4611686018427388005
158, 0, 0, 0, 655, 170.0, 714, 4611686018427388009
158, 166100, 0, 0, 698, 260.0, 761, 105
162, 170420, 0, 0, 503, 150.0, 568, 109
165, 0, 0, 0, 765, 730.0, 829, 4611686018427388012
166, 174760, 0, 0, 502, 150.0, 573, 113
169, 0, 0, 0, 490, 170.0, 549, 4611686018427388017
172, 180716, 0, 0, 667, 180.0, 721, 115
175, 0, 0, 0, 661, 200.0, 731, 4611686018427388019
178, 186836, 0, 0, 695, 150.0, 762, 117
179, 0, 0, 0, 426, 170.0, 490, 4611686018427388022
181, 190136, 0, 0, 375, 160.0, 441, 123
184, 0, 0, 0, 564, 230.0, 624, 4611686018427388024
187, 195856, 0, 0, 597, 260.0, 662, 125
189, 0, 0, 0, 676, 220.0, 754, 4611686018427388025
192, 201040, 0, 0, 595, 190.0, 656, 129
195, 0, 0, 0, 603, 210.0, 670, 4611686018427388034
196, 205268, 0, 0, 474, 180.0, 545, 134
200, 0, 0, 0, 596, 120.0, 654, 4611686018427388036
200, 209504, 0, 0, 493, 150.0, 547, 143
204, 0, 0, 0, 528, 120.0, 586, 4611686018427388038
205, 214724, 0, 0, 601, 160.0, 665, 144
208, 0, 0, 0, 428, 140.0, 490, 4611686018427388041
212, 221456, 0, 0, 727, 230.0, 787, 147
214, 0, 0, 0, 677, 300.0, 748, 4611686018427388043
217, 226560, 0, 0, 570, 200.0, 636, 149
218, 0, 0, 0, 429, 170.0, 491, 4611686018427388046
223, 0, 0, 0, 539, 190.0, 602, 4611686018427388050
223, 233024, 0, 0, 771, 180.0, 848, 152
228, 0, 0, 0, 692, 210.0, 762, 4611686018427388052
228, 238160, 0, 0, 585, 210.0, 644, 157
233, 243400, 0, 0, 609, 210.0, 670, 159
234, 0, 0, 0, 612, 180.0, 680, 4611686018427388056
238, 248408, 0, 0, 540, 120.0, 612, 161
239, 0, 0, 0, 553, 300.0, 613, 4611686018427388058
243, 0, 0, 0, 561, 200.0, 623, 4611686018427388062
246, 256220, 0, 0, 855, 240.0, 929, 163
248, 0, 0, 0, 517, 140.0, 582, 4611686018427388068
251, 261368, 0, 0, 583, 110.0, 647, 166
252, 0, 0, 0, 517, 130.0, 570, 4611686018427388071
256, 266572, 0, 0, 599, 180.0, 661, 169
258, 0, 0, 0, 583, 160.0, 659, 4611686018427388075
260, 270764, 0, 0, 475, 220.0, 536, 171
263, 0, 0, 0, 565, 240.0, 634, 4611686018427388081
264, 275044, 0, 0, 496, 180.0, 558, 174
269, 0, 0, 0, 803, 280.0, 862, 4611686018427388083
269, 280196, 0, 0, 578, 220.0, 648, 176
273, 0, 0, 0, 435, 160.0, 498, 4611686018427388088
275, 286276, 0, 0, 680, 270.0, 752, 179
278, 0, 0, 0, 600, 170.0, 674, 4611686018427388091
280, 291056, 0, 0, 496, 170.0, 555, 183
284, 0, 0, 0, 693, 210.0, 748, 4611686018427388093
287, 298480, 0, 0, 895, 210.0, 960, 185
289, 0, 0, 0, 499, 160.0, 560, 4611686018427388097
292, 303740, 0, 0, 604, 110.0, 675, 191
296, 0, 0, 0, 862, 200.0, 927, 4611686018427388099
297, 308600, 0, 0, 498, 110.0, 575, 194
300, 0, 0, 0, 448, 140.0, 507, 4611686018427388105
301, 312672, 0, 0, 449, 150.0, 506, 197
304, 0, 0, 0, 498, 120.0, 571, 4611686018427388107
305, 317060, 0, 0, 511, 220.0, 585, 199
309, 0, 0, 0, 567, 200.0, 634, 4611686018427388111
310, 322164, 0, 0, 574, 150.0, 636, 201
315, 0, 0, 0, 692, 410.0, 757, 4611686018427388113
316, 327936, 0, 0, 616, 190.0, 675, 208
320, 332160, 0, 0, 480, 220.0, 544, 211
321, 0, 0, 0, 668, 220.0, 739, 4611686018427388116
325, 337444, 0, 0, 614, 180.0, 681, 213
328, 0, 0, 0, 887, 280.0, 942, 4611686018427388119
331, 343384, 0, 0, 644, 230.0, 717, 216
334, 0, 0, 0, 600, 220.0, 678, 4611686018427388122
336, 348440, 0, 0, 562, 140.0, 624, 221
339, 0, 0, 0, 601, 140.0, 669, 4611686018427388124
341, 353512, 0, 0, 562, 140.0, 628, 224
345, 0, 0, 0, 669, 280.0, 737, 4611686018427388126
345, 357916, 0, 0, 504, 130.0, 589, 227
349, 0, 0, 0, 444, 190.0, 509, 4611686018427388128
350, 362980, 0, 0, 551, 200.0, 626, 231
356, 0, 0, 0, 899, 170.0, 973, 4611686018427388129
356, 368896, 0, 0, 639, 220.0, 711, 233
360, 373128, 0, 0, 492, 120.0, 546, 235
